"TARGET_deathRate","incidenceRate","medIncome","povertyPercent","MedianAge","MedianAgeMale","MedianAgeFemale","Geography","AvgHouseholdSize","PctNoHS18_24","PctHS18_24","PctSomeCol18_24","PctBachDeg18_24","PctHS25_Over","PctBachDeg25_Over","PctEmployed16_Over","PctUnemployed16_Over","PctPrivateCoverage","PctPrivateCoverageAlone","PctEmpPrivCoverage","PctPublicCoverage","PctPublicCoverageAlone","PctWhite","PctBlack","PctAsian","PctOtherRace","PctMarriedHouseholds","BirthRate","State"
161.3,411.6,48127,18.6,33,32.2,33.7,"Kittitas County, Washington",2.34,6.1,22.4,64,7.5,26,22.7,55.9,7.8,70.2,53.8,43.6,31.1,15.3,89.22850915,0.969102455,2.246232585,3.741351531,45.37250044,4.333095578,"Washington"
174.7,349.7,49348,14.6,45,44,45.8,"Klickitat County, Washington",2.62,24,36.6,NA,9.5,29,16,45.9,7,63.7,43.5,34.9,42.1,21.1,90.9221902,0.739673391,0.465898175,2.747358309,54.44486837,3.729487817,"Washington"
194.8,430.4,44243,17.1,42.8,42.2,43.4,"Lewis County, Washington",2.52,20.2,41.2,36.1,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35,45.3,25,91.74468649,0.782625968,1.16135867,1.362643183,51.02151448,4.603840773,"Washington"
144.4,350.1,49955,12.5,48.3,47.8,48.9,"Lincoln County, Washington",2.34,14.9,43,40,2,33.4,15,48.2,4.8,61.6,43.9,35.1,44,22.7,94.10402393,0.270192029,0.665830358,0.492135482,54.02745995,6.796657382,"Washington"
176,505.4,52313,15.6,45.4,43.5,48,"Mason County, Washington",2.58,29.9,35.1,NA,4.5,30.4,11.9,44.1,12.9,60,38.8,32.6,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,51.22035959,4.964476021,"Washington"
175.9,461.8,37782,23.2,42.6,42.2,43.5,"Okanogan County, Washington",2.42,26.1,41.4,NA,5.8,29.8,11.9,51.8,8.9,49.5,35,28.3,46.4,28.7,75.10645505,0.616955386,0.866156973,8.356721185,51.01389975,4.204317269,"Washington"
183.6,404,40189,17.8,51.7,50.8,52.5,"Pacific County, Washington",2.24,27.3,33.9,36.5,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,89.40663599,0.305158634,1.889077258,2.286267861,48.96703297,5.889178996,"Washington"
190.5,459.4,42579,22.3,49.3,48.4,49.8,"Pend Oreille County, Washington",2.38,34.7,39.4,NA,1.4,32.2,12,39.5,10.3,55.5,37.8,29.9,48.1,26.6,91.78747687,0.185070944,0.208204812,0.616903146,53.44699778,5.587583149,"Washington"
188.3,398.9,52673,12.6,45.2,44.9,45.5,"Skamania County, Washington",2.49,20,43.8,NA,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.844970204,0.978386552,0.773814818,52.94771969,4.805591962,"Washington"
165.3,493.4,71890,9.9,37.6,36.6,38.7,"Snohomish County, Washington",2.68,15.4,33.3,NA,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.252719804,52.72049671,4.729251068,"Washington"
171,440.7,50083,16.3,37.2,35.7,38.7,"Spokane County, Washington",2.45,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,89.03816718,1.827041461,2.315985625,1.03362505,48.18837711,5.355835918,"Washington"
174.2,423.8,43823,19.3,46.2,45.6,46.8,"Stevens County, Washington",2.44,25.1,35.3,NA,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,55.21239889,3.631082062,"Washington"
